time_min,strain,experiment,group,replicate,od600
120,MA012,baseline,control,3,0.122
120,MA012,baseline,control,4,0.131
120,MA012,baseline,control,5,0.117
180,MA012,baseline,control,1,0.183
180,MA012,baseline,control,2,0.23
180,MA012,baseline,control,3,0.201
180,MA012,baseline,control,4,0.175
180,MA012,baseline,control,5,0.173
240,MA012,baseline,control,1,0.257
240,MA012,baseline,control,2,0.314
240,MA012,baseline,control,3,0.332
240,MA012,baseline,control,4,0.291
240,MA012,baseline,control,5,0.252
300,MA012,baseline,control,1,0.474
300,MA012,baseline,control,2,0.607
300,MA012,baseline,control,3,0.506
300,MA012,baseline,control,4,0.602
300,MA012,baseline,control,5,0.578
360,MA012,baseline,control,1,0.756
360,MA012,baseline,control,2,1.11
360,MA012,baseline,control,3,1.091
360,MA012,baseline,control,4,1.018
360,MA012,baseline,control,5,0.883
0,PY012,norfloxacin,treated,1,0.01
60,PY012,norfloxacin,treated,1,0.06
120,PY012,norfloxacin,treated,1,0.14
180,PY012,norfloxacin,treated,1,0.21
240,PY012,norfloxacin,treated,1,0.3
300,PY012,norfloxacin,treated,1,0.41
0,PY001,norfloxacin,treated,1,0.01
60,PY001,norfloxacin,treated,1,0.05
120,PY001,norfloxacin,treated,1,0.13
180,PY001,norfloxacin,treated,1,0.19
240,PY001,norfloxacin,treated,1,0.24
300,PY001,norfloxacin,treated,1,0.31
0,MA012,norfloxacin,treated,1,0.01
60,MA012,norfloxacin,treated,1,0.05
120,MA012,norfloxacin,treated,1,0.11
180,MA012,norfloxacin,treated,1,0.15
240,MA012,norfloxacin,treated,1,0.22
300,MA012,norfloxacin,treated,1,0.3
0,PY012,norfloxacin,control,1,0.02
60,PY012,norfloxacin,control,1,0.09
120,PY012,norfloxacin,control,1,0.19
180,PY012,norfloxacin,control,1,0.27
240,PY012,norfloxacin,control,1,0.42
300,PY012,norfloxacin,control,1,0.64
0,PY001,norfloxacin,control,1,0.02
60,PY001,norfloxacin,control,1,0.07
120,PY001,norfloxacin,control,1,0.16
180,PY001,norfloxacin,control,1,0.24
240,PY001,norfloxacin,control,1,0.34
300,PY001,norfloxacin,control,1,0.54
0,MA012,norfloxacin,control,1,0.01
60,MA012,norfloxacin,control,1,0.06
120,MA012,norfloxacin,control,1,0.14
180,MA012,norfloxacin,control,1,0.21
240,MA012,norfloxacin,control,1,0.3
300,MA012,norfloxacin,control,1,0.47
0,PY012,ciprofloxacin,treated,1,0.01
60,PY012,ciprofloxacin,treated,1,0.06
120,PY012,ciprofloxacin,treated,1,0.13
180,PY012,ciprofloxacin,treated,1,0.19
240,PY012,ciprofloxacin,treated,1,0.26
300,PY012,ciprofloxacin,treated,1,0.32
0,PY001,ciprofloxacin,treated,1,0.01
60,PY001,ciprofloxacin,treated,1,0.05
120,PY001,ciprofloxacin,treated,1,0.12
180,PY001,ciprofloxacin,treated,1,0.17
240,PY001,ciprofloxacin,treated,1,0.21
300,PY001,ciprofloxacin,treated,1,0.27
0,MA012,ciprofloxacin,treated,1,0.01
60,MA012,ciprofloxacin,treated,1,0.04
120,MA012,ciprofloxacin,treated,1,0.1
180,MA012,ciprofloxacin,treated,1,0.15
240,MA012,ciprofloxacin,treated,1,0.19
300,MA012,ciprofloxacin,treated,1,0.24
0,PY012,ciprofloxacin,control,1,0.01
60,PY012,ciprofloxacin,control,1,0.1
120,PY012,ciprofloxacin,control,1,0.19
180,PY012,ciprofloxacin,control,1,0.27
240,PY012,ciprofloxacin,control,1,0.42
300,PY012,ciprofloxacin,control,1,0.6
0,PY001,ciprofloxacin,control,1,0.01
60,PY001,ciprofloxacin,control,1,0.07
120,PY001,ciprofloxacin,control,1,0.16
180,PY001,ciprofloxacin,control,1,0.23
240,PY001,ciprofloxacin,control,1,0.34
300,PY001,ciprofloxacin,control,1,0.51
0,MA012,ciprofloxacin,control,1,0.01
60,MA012,ciprofloxacin,control,1,0.06
120,MA012,ciprofloxacin,control,1,0.13
180,MA012,ciprofloxacin,control,1,0.2
240,MA012,ciprofloxacin,control,1,0.3
300,MA012,ciprofloxacin,control,1,0.46
